STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,UNIT_MEASURE,Unit of measure,MEASURE,Measure,FREQ,Frequency,SEX,Sex,ACTIVITY,Economic activity (NACE Rev.2),ADJUSTMENT,Adjustment,RESIDENCE,Place of residence,TIME_PERIOD,Time period,OBS_VALUE,Observation value,UNIT_MULT,Unit multiplier,OBS_STATUS,Observation status,DECIMALS,Decimals,COMMENT_TS_NACE,Comments on the time series NACE
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2010-Q3,,337717,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2010-Q4,,340246,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2011-Q1,,341907,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2011-Q2,,347414,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2011-Q3,,348275,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2011-Q4,,350491,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2012-Q1,,352012,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2012-Q2,,356079,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2012-Q3,,355898,,0,Units,,,0,Zero,,
DATAFLOW,LU1:DSD_EMPLOI_SAL@DF_B3000(1.0),Domestic payroll employment by economic activity,I,PERS,Persons,SAL_INT,Domestic payroll employment,Q,Quarterly,_Z,Not applicable,_T,Total - all NACE activities,N,Neither seasonally adjusted nor calendar adjusted data,_Z,Not applicable,2012-Q4,,358492,,0,Units,,,0,Zero,,
